district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Upper West Akim,Eastern,0.0484829160811892,-0.3963665395154183,not_significant,-0.5187850279526944,not_significant,4,0.233
West Akim Municipal,Eastern,-0.6570086628501617,-0.32050518105737213,not_significant,-0.36588418433534464,not_significant,3,0.257
Akyemansa,Eastern,-0.6462759053330223,-0.5938678587818016,not_significant,-0.3605536681081736,not_significant,3,0.083
Atiwa East,Eastern,-1.0840081164516402,-0.532258274319587,not_significant,-0.5575066112624971,not_significant,3,0.072
New Juaben South Municipal,Eastern,-2.731407519612429,-0.7279898545368605,coldspot,-0.7225157436295239,coldspot,3,0.042
Birim South,Eastern,-0.4000400024019476,-0.3582088135700328,not_significant,-0.3735574821948693,not_significant,3,0.257
Abuakwa North Municipal,Eastern,-1.2717051112999498,-0.7696314732343156,coldspot,-0.8933665890011666,coldspot,3,0.046
Akwapim North Municipal,Eastern,-0.8417810146872551,-0.7069299798235993,coldspot,-0.8848061810747228,coldspot,3,0.052
Fanteakwa South,Eastern,-1.4505786473498865,-0.5479363449492839,not_significant,-0.6259652947251904,coldspot,3,0.071
Birim Central Municipal,Eastern,-1.912012328405068,-0.36662067237306367,not_significant,-0.29446242487832164,not_significant,3,0.25
