district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Kwahu East,Eastern,-0.518983907765682,-0.2829509622789,not_significant,-0.4708526563816567,not_significant,3,0.344
Kwahu West Municipal,Eastern,-1.4891253467776793,-0.37543401530987447,not_significant,-0.4384915820404941,not_significant,3,0.243
Lower Manya Krobo Municipal,Eastern,-0.7698347179303097,-0.5268399585616493,not_significant,-0.44568089082350615,not_significant,3,0.185
Nsawam Adoagyiri Municipal,Eastern,-1.509891593849196,-0.249356680694127,not_significant,-0.8667040207943328,coldspot,3,0.359
Akwapim South Municipal,Eastern,-1.1562311581129745,-0.472074624941097,not_significant,-1.1536020857690081,coldspot,3,0.216
Denkyembuor,Eastern,-1.1179028988928823,-0.5252675855505644,not_significant,-0.46123004861009154,not_significant,3,0.084
Kwaebibirem Municipal,Eastern,-0.9642712483379132,-0.5479725654816723,not_significant,-0.6289865230491589,not_significant,3,0.098
Kwahu Afram Plains South,Eastern,-0.0160455353987689,-0.177327208174914,not_significant,-0.09558891571499771,not_significant,3,0.369
Kwahu Afram Plains North,Eastern,0.4880793327595769,-0.3034464857250937,not_significant,-0.08735519676430217,not_significant,4,0.336
Suhum Municipal,Eastern,-1.61645212790177,-0.739792666518775,coldspot,-0.7917306600031155,coldspot,3,0.028
Ayensuano,Eastern,-0.2543057846857023,-0.5164512561170036,not_significant,-0.6539591873212647,coldspot,3,0.054
Abuakwa South Municipal,Eastern,-0.7957736274526265,-0.7120864027130239,coldspot,-0.7120864027130239,coldspot,3,0.022
Upper West Akim,Eastern,0.0484829160811892,-0.39636653951541845,not_significant,-0.5187850279526944,not_significant,4,0.226
West Akim Municipal,Eastern,-0.6570086628501617,-0.3205051810573724,not_significant,-0.36588418433534475,not_significant,3,0.24
Akyemansa,Eastern,-0.6462759053330223,-0.5938678587818026,not_significant,-0.36055366810817413,not_significant,3,0.072
Atiwa East,Eastern,-1.0840081164516402,-0.5322582743195873,not_significant,-0.5575066112624976,not_significant,3,0.054
New Juaben South Municipal,Eastern,-2.731407519612429,-0.7279898545368603,coldspot,-0.7225157436295242,coldspot,3,0.033
Birim South,Eastern,-0.4000400024019476,-0.3582088135700329,not_significant,-0.37355748219486906,not_significant,3,0.251
Abuakwa North Municipal,Eastern,-1.2717051112999498,-0.7696314732343155,coldspot,-0.8933665890011661,coldspot,3,0.046
Akwapim North Municipal,Eastern,-0.8417810146872551,-0.7069299798235994,coldspot,-0.884806181074723,coldspot,3,0.038
Fanteakwa South,Eastern,-1.4505786473498865,-0.5479363449492844,not_significant,-0.6259652947251912,not_significant,3,0.051
Birim Central Municipal,Eastern,-1.912012328405068,-0.36662067237306345,not_significant,-0.2944624248783215,not_significant,3,0.248
